customer_id,recency,frequency,monetary,r,f,m,score,segment
C00001,138,1,2981.25,1,1,1,3,At Risk
C00002,17,4,17553.1,4,2,3,9,Loyal
C00003,61,4,10359.45,3,2,2,7,Regular
C00004,71,4,22899.16,2,2,3,7,Regular
C00005,27,6,31604.1,4,4,4,12,Champions
C00006,63,2,8440.54,3,1,1,5,At Risk
C00007,223,2,8023.09,1,1,1,3,At Risk
C00008,290,1,7587.3,1,1,1,3,At Risk
C00009,284,1,5076.73,1,1,1,3,At Risk
C00010,20,7,34266.659999999996,4,4,4,12,Champions
C00011,137,2,8043.93,1,1,1,3,At Risk
C00012,56,2,3892.3199999999997,3,1,1,5,At Risk
C00013,21,5,8186.6,4,3,1,8,Regular
C00014,26,7,25233.94,4,4,4,12,Champions
C00015,22,8,31533.27,4,4,4,12,Champions
C00016,98,3,22175.879999999997,2,2,3,7,Regular
C00017,112,5,30421.86,2,3,4,9,Loyal
C00018,60,3,18101.93,3,2,3,8,Regular
C00019,69,5,19993.7,3,3,3,9,Loyal
C00020,14,4,19107.67,4,2,3,9,Loyal
C00021,143,2,6716.46,1,1,1,3,At Risk
C00022,1,4,23132.67,4,2,3,9,Loyal
C00023,59,6,21055.71,3,4,3,10,Loyal
C00024,56,4,17835.28,3,2,3,8,Regular
C00025,346,1,2642.4,1,1,1,3,At Risk
C00026,59,4,24731.870000000003,3,2,3,8,Regular
C00027,5,2,7568.889999999999,4,1,1,6,Regular
C00028,131,3,16669.6,2,2,3,7,Regular
C00029,18,5,18394.93,4,3,3,10,Loyal
C00030,260,1,1980.3,1,1,1,3,At Risk
C00031,1,4,11488.66,4,2,2,8,Regular
C00032,65,1,1563.09,3,1,1,5,At Risk
C00033,106,3,20175.48,2,2,3,7,Regular
C00034,6,2,13621.06,4,1,2,7,Regular
C00035,302,1,4622.61,1,1,1,3,At Risk
C00036,177,1,7993.14,1,1,1,3,At Risk
C00037,45,7,50872.11,3,4,4,11,Champions
C00038,95,3,8949.07,2,2,1,5,At Risk
C00039,3,1,7994.35,4,1,1,6,Regular
C00041,132,2,10355.36,2,1,2,5,At Risk
C00042,20,4,21817.380000000005,4,2,3,9,Loyal
C00043,104,3,17821.98,2,2,3,7,Regular
C00044,93,4,15794.73,2,2,2,6,Regular
C00045,155,4,18461.53,1,2,3,6,Regular
C00046,58,1,1612.67,3,1,1,5,At Risk
C00047,210,6,33240.54,1,4,4,9,Loyal
C00048,54,6,37033.020000000004,3,4,4,11,Champions
C00049,91,4,12379.14,2,2,2,6,Regular
C00050,25,3,12958.16,4,2,2,8,Regular
C00051,48,4,30537.82,3,2,4,9,Loyal
C00052,57,3,15228.3,3,2,2,7,Regular
C00053,44,1,1482.69,3,1,1,5,At Risk
C00054,28,8,40357.35,3,4,4,11,Champions
C00055,145,2,5532.08,1,1,1,3,At Risk
C00056,40,4,10661.58,3,2,2,7,Regular
C00057,3,3,5528.59,4,2,1,7,Regular
C00058,83,2,6057.16,2,1,1,4,At Risk
C00059,35,2,8337.29,3,1,1,5,At Risk
C00060,14,3,9722.14,4,2,2,8,Regular
C00061,220,4,18165.47,1,2,3,6,Regular
C00062,125,5,19426.0,2,3,3,8,Regular
C00063,99,4,23345.550000000003,2,2,3,7,Regular
C00064,224,3,16246.83,1,2,3,6,Regular
C00065,98,1,4590.0,2,1,1,4,At Risk
C00066,2,5,40305.450000000004,4,3,4,11,Champions
C00067,75,3,16488.07,2,2,3,7,Regular
C00068,22,3,11671.73,4,2,2,8,Regular
C00069,122,2,10786.71,2,1,2,5,At Risk
C00070,119,3,8963.92,2,2,1,5,At Risk
C00071,34,5,20238.829999999998,3,3,3,9,Loyal
C00072,10,7,30685.75,4,4,4,12,Champions
C00073,291,2,4862.57,1,1,1,3,At Risk
C00074,146,2,9166.970000000001,1,1,1,3,At Risk
C00075,26,5,18073.809999999998,4,3,3,10,Loyal
C00076,36,4,9834.380000000001,3,2,2,7,Regular
C00077,24,4,11562.01,4,2,2,8,Regular
C00078,138,1,1647.75,1,1,1,3,At Risk
C00079,152,5,12711.18,1,3,2,6,Regular
C00080,11,6,16675.09,4,4,3,11,Champions
C00081,60,2,7191.09,3,1,1,5,At Risk
C00082,68,4,9639.57,3,2,2,7,Regular
C00083,151,2,2361.86,1,1,1,3,At Risk
C00085,19,4,17212.17,4,2,3,9,Loyal
C00086,288,1,5894.1,1,1,1,3,At Risk
C00087,132,2,8483.0,2,1,1,4,At Risk
C00088,232,2,7811.93,1,1,1,3,At Risk
C00089,1,3,12233.66,4,2,2,8,Regular
