supplier_id,skus,on_time_rate,defect_rate,lead_time
S001,20,0.873,0.0414,24.0
S002,24,0.8617916666666666,0.04645833333333333,19.375
S003,22,0.8436818181818182,0.04472727272727273,25.318181818181817
S004,27,0.8248148148148148,0.04577777777777778,23.25925925925926
S005,18,0.8461666666666666,0.034166666666666665,21.166666666666668
S006,29,0.8536551724137931,0.04048275862068965,23.379310344827587
S007,26,0.8367307692307692,0.045538461538461535,22.884615384615383
S008,29,0.8835862068965517,0.041379310344827586,25.82758620689655
S009,27,0.8434074074074074,0.03659259259259259,23.296296296296298
S010,32,0.85671875,0.032625,22.59375
S011,27,0.8776666666666666,0.05011111111111111,24.11111111111111
S012,30,0.8756,0.034666666666666665,24.7
S013,27,0.8356296296296297,0.049629629629629635,23.0
S014,20,0.8350500000000001,0.05034999999999999,28.8
S015,26,0.8323846153846154,0.05234615384615385,22.73076923076923
S016,20,0.88135,0.046150000000000004,26.0
S017,22,0.8524999999999999,0.050090909090909096,20.5
S018,23,0.8836086956521739,0.03939130434782609,24.391304347826086
S019,22,0.8562272727272727,0.04522727272727273,22.681818181818183
S020,32,0.852375,0.03771875,22.0
S021,27,0.8694444444444444,0.05644444444444444,24.037037037037038
S022,24,0.8392499999999999,0.036375,26.875
S023,22,0.8566818181818182,0.042909090909090904,24.40909090909091
S024,31,0.8396774193548387,0.04293548387096774,24.032258064516128
S025,27,0.8332962962962962,0.04333333333333333,23.74074074074074
S026,19,0.8635263157894737,0.060315789473684205,19.0
S027,25,0.8475199999999999,0.04816,24.16
S028,33,0.8419393939393939,0.04509090909090909,22.484848484848484
S029,30,0.8502666666666666,0.04386666666666667,22.2
S030,16,0.833375,0.0406875,16.3125
S031,20,0.8581,0.0528,19.5
S032,32,0.85959375,0.0504375,25.0
S033,24,0.8389583333333334,0.04666666666666667,23.666666666666668
S034,21,0.8459999999999999,0.03619047619047619,19.761904761904763
S035,26,0.8718461538461538,0.04496153846153846,24.653846153846153
S036,24,0.8813749999999999,0.045250000000000005,19.125
S037,20,0.8589499999999999,0.05275,20.65
S038,29,0.8340344827586207,0.04493103448275862,21.82758620689655
S039,17,0.863,0.04752941176470588,24.352941176470587
S040,29,0.8386551724137932,0.05179310344827586,20.06896551724138
S041,22,0.8319545454545455,0.050272727272727274,20.09090909090909
S042,14,0.8826428571428571,0.04807142857142858,16.428571428571427
S043,19,0.8284736842105263,0.04863157894736842,28.68421052631579
S044,27,0.8497777777777777,0.04714814814814815,24.703703703703702
S045,27,0.848,0.04188888888888889,24.037037037037038
S046,27,0.8434074074074074,0.038814814814814816,25.40740740740741
S047,23,0.8483913043478261,0.04773913043478261,22.52173913043478
S048,22,0.8592272727272726,0.04431818181818182,23.227272727272727
S049,20,0.8462500000000001,0.04255,23.1
S050,24,0.8674583333333333,0.036958333333333336,22.958333333333332
S051,25,0.8826,0.035,27.08
S052,29,0.8792068965517241,0.05186206896551724,22.344827586206897
S053,24,0.844125,0.050333333333333334,20.791666666666668
S054,19,0.8193157894736842,0.043,24.31578947368421
S055,22,0.8568636363636363,0.05159090909090909,27.40909090909091
S056,30,0.8427,0.03866666666666666,19.833333333333332
S057,31,0.8545806451612904,0.0472258064516129,23.06451612903226
S058,24,0.8479583333333333,0.03991666666666666,23.125
S059,27,0.843037037037037,0.04262962962962963,23.14814814814815
S060,25,0.85088,0.04824,26.12
Unknown,20,0.8644000000000001,0.046349999999999995,22.7
